lon,lat,BO_sstmean,BO_sstrange,BO2_salinitymean_ss,BO2_ppmean_ss,BO2_pprange_ss
3.311,42.313,16.942300224304198,10.397499942779541,37.737064361572266,0.002566106175072491,0.006574751948937774
3.308,42.292,16.940778096516926,10.457333246866861,37.737064361572266,0.002567384055712157,0.006539925932884216
3.28,42.333,16.841555913289387,10.510666635301378,37.737064361572266,0.00265522045083344,0.0066144695608980125
3.309,42.324,16.919900321960448,10.323799991607666,37.737064361572266,0.0025886704679578543,0.00661424552090466
2.318,39.589,19.647363662719727,12.914181795987217,37.10311508178711,5.737527654590932e-4,0.0016326177441938357
2.337,39.599,19.6507999420166,12.91609992980957,37.12886047363281,5.737943283747882e-4,0.0016338419634848833
2.327,39.586,19.644500096638996,12.907583316167196,37.10311508178711,5.728682881454006e-4,0.0016304556338582188
2.31,39.574,19.63954561406916,12.905454548922451,37.0842399597168,5.724116397852248e-4,0.0016205957032401454
2.361,39.61,19.664800071716307,12.94359998703003,37.12886047363281,5.724998482037336e-4,0.0016345003852620721
2.349,39.563,19.634909196333453,12.912000049244273,37.071868896484375,5.703851929865777e-4,0.0016090846514667976
1.159,38.979,19.53855578104655,12.484555668301052,36.948936462402344,6.059057583721975e-4,0.0019365374852592747
1.166,38.969,19.53855578104655,12.484555668301052,36.948936462402344,6.059057583721975e-4,0.0019365374852592747
1.189,38.956,19.562666787041557,12.493777910868326,36.9665641784668,6.06202358742141e-4,0.0018762815873035127
1.196,38.96,19.562666787041557,12.493777910868326,36.9665641784668,6.06202358742141e-4,0.0018762815873035127
1.207,38.988,19.562666787041557,12.493777910868326,36.9665641784668,6.06202358742141e-4,0.0018762815873035127
1.215,38.989,19.569875240325928,12.493375182151794,36.9665641784668,6.057797581888735e-4,0.0018446488393237814
29.031,36.557,21.67322243584527,11.639444351196289,39.216064453125,0.003993362058988876,0.008089955275257429
29.034,36.578,21.66210021972656,11.682399940490722,39.216064453125,0.004029546421952546,0.008122107293456794
29.029,36.604,21.649666680230034,11.770555390252007,39.21605682373047,0.004250136100583606,0.008319971410350667
29.042,36.619,21.649666680230034,11.770555390252007,39.21605682373047,0.004250136100583606,0.008319971410350667
29.028,36.596,21.6371000289917,11.714399814605713,39.21605682373047,0.004256209544837475,0.008336652955040335
29.063,36.618,21.65387511253357,11.817124843597412,39.21605682373047,0.004214956774376333,0.00829682283801958
1.481,38.788,19.624299812316895,12.635800075531005,36.94309997558594,5.945091601461172e-4,0.0016210181755013763
1.481,38.799,19.624299812316895,12.635800075531005,36.94309997558594,5.945091601461172e-4,0.0016210181755013763
1.479,38.803,19.62527257745916,12.632454612038352,36.94309997558594,5.911287946880541e-4,0.0016155618835579264
1.48,38.796,19.624299812316895,12.635800075531005,36.94309997558594,5.945091601461172e-4,0.0016210181755013763
1.485,38.787,19.62772716175426,12.637181888927113,36.94309997558594,5.902844714000821e-4,0.0016157216900451617
1.479,38.804,19.62527257745916,12.632454612038352,36.94309997558594,5.911287946880541e-4,0.0016155618835579264
3.16,39.956,19.398666699727375,12.799916664759317,37.28463363647461,5.579244413335497e-4,0.0014838946614569675
3.135,39.946,19.403800010681152,12.830699920654297,37.28463363647461,5.586722458247095e-4,0.001488260633777827
3.172,39.959,19.398666699727375,12.799916664759317,37.28887176513672,5.579244413335497e-4,0.0014838946614569675
3.192,39.956,19.388599967956544,12.755100059509278,37.28887176513672,5.552594491746276e-4,0.0014713868964463471
3.198,39.943,19.388599967956544,12.755100059509278,37.28887176513672,5.552594491746276e-4,0.0014713868964463471
9.131,44.36,18.719749927520752,12.577874898910522,38.10386657714844,3.721237044373993e-4,0.0023610537755303085
9.126,44.362,18.718857084001815,12.55242851802281,38.10386657714844,3.7017719504157346e-4,0.0023605014929281814
9.092,44.371,18.730249881744385,12.50849997997284,38.10386657714844,3.703988440975081e-4,0.002352513954974711
9.107,44.367,18.730249881744385,12.50849997997284,38.10386657714844,3.703988440975081e-4,0.002352513954974711
9.077,44.375,18.730249881744385,12.50849997997284,38.1074104309082,3.703988440975081e-4,0.002352513954974711
9.053,44.378,18.73937487602234,12.541749954223633,38.1074104309082,3.655897016869858e-4,0.0023189370112959296
28.079,37.021,20.90600037574768,11.016625046730042,39.22555923461914,0.0023696098069194704,0.0037338689726311713
28.114,37.022,20.924428939819336,11.168000085013253,39.22909164428711,0.002405475193102445,0.003786877529429538
28.161,37.029,20.92957169669015,11.369142941066197,39.22909164428711,0.0024807375656174763,0.003956837945484689
