"","SpecCode","Species","autoctr","StockCode","MaturityRefNo","Sex","AgeMatMin","AgeMatMin2","AgeMatRef","tm","Number","r2","SE_tm","SD_tm","LCL_tm","UCL_tm","LengthMatMin","LengthMatMin2","Type1","LengthMatRef","Lm","SE_Lm","SD_Lm","LCL_Lm","UCL_Lm","Locality","C_Code","E_CODE","Comment","Entered","DateEntered","Modified","DateModified","Expert","DateChecked","TS"
"84",1707,"Sciaena umbra",1665,1903,9505,"male",NA,NA,9505,3,NA,NA,NA,NA,NA,NA,NA,NA,"TL",9505,25,NA,NA,NA,NA,"W. Mediterranean, Northern Tunisia","788",NA,NA,32,1995-07-02 00:00:00,21,1995-07-02 00:00:00,NA,NA,NA
"85",1707,"Sciaena umbra",10054,1903,122054,"female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TL",122054,22,NA,NA,NA,NA,"off Trabzon / 2002-2003","792",143,"Mean Lm is Lm(50%).",2448,2020-04-27 00:00:00,NA,2020-04-27 00:00:00,NA,NA,NA
"86",1707,"Sciaena umbra",10053,1903,122054,"male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TL",122054,19.25,NA,NA,NA,NA,"off Trabzon / 2002-2003","792",143,"Mean Lm is Lm(50%).",2448,2020-04-27 00:00:00,NA,2020-04-27 00:00:00,NA,NA,NA
"87",1327,"Mullus surmuletus",1359,1345,6014,"female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TL",6014,18,NA,NA,NA,NA,"Gulf of Biscay","250",NA,NA,3,1993-10-19 00:00:00,NA,1993-10-19 00:00:00,NA,NA,NA
"88",1327,"Mullus surmuletus",1360,1345,6014,"male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TL",6014,16,NA,NA,NA,NA,"Gulf of Biscay","250",NA,NA,3,1993-10-19 00:00:00,NA,1993-10-19 00:00:00,NA,NA,NA
"89",1327,"Mullus surmuletus",1361,1345,27030,"female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FL",27049,13.8000001907349,NA,NA,NA,NA,"Central Aegean Sea, 1990-92","300",NA,NA,3,1998-07-29 00:00:00,NA,1998-07-29 00:00:00,NA,NA,NA
"90",1327,"Mullus surmuletus",3218,1345,35388,"unsexed",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Channel area",NA,NA,NA,393,2001-01-30 00:00:00,NA,2001-01-30 00:00:00,NA,NA,NA
"91",1327,"Mullus surmuletus",3571,1345,40546,"unsexed",2,NA,40707,NA,NA,NA,NA,NA,NA,NA,22,NA,"TL",40707,NA,NA,NA,NA,NA,"Bay of Biscay","250",NA,NA,2,2001-11-27 00:00:00,NA,2001-11-27 00:00:00,NA,NA,NA
"92",1327,"Mullus surmuletus",7490,1345,57638,"female",NA,NA,57638,1,604,NA,NA,NA,NA,NA,15,26,"TL",57638,16.7999992370605,NA,NA,NA,NA,"Majorca, 1992","724",NA,"Lm range was read from the maturity ogive.",1001,2011-05-17 00:00:00,3,2012-09-07 00:00:00,NA,NA,NA
"93",1327,"Mullus surmuletus",7491,1345,57638,"male",NA,NA,57638,1,662,NA,NA,NA,NA,NA,13,22,"TL",57638,15,NA,NA,NA,NA,"Majorca,  1992","724",NA,"Lm range was read from the maturity ogive.",1001,2011-05-17 00:00:00,3,2012-09-07 00:00:00,NA,NA,NA
"94",1327,"Mullus surmuletus",7492,1345,86711,"unsexed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.59999990463257,22.6000003814697,NA,NA,NA,NA,NA,NA,NA,"Izmir Bay","792",NA,NA,1001,2011-05-17 00:00:00,NA,2011-05-17 00:00:00,NA,NA,NA
"95",1327,"Mullus surmuletus",7497,1345,86721,"female",NA,NA,90285,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,90285,15,NA,NA,NA,NA,"Alexandria and Abo Qir Bay","818",NA,NA,1001,2011-05-17 00:00:00,1001,2012-06-27 14:09:21,NA,NA,NA
"96",1327,"Mullus surmuletus",7495,1345,86721,"female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.7999992370605,NA,NA,NA,NA,"Mallorca","724",NA,NA,1001,2011-05-17 00:00:00,NA,2011-05-17 00:00:00,NA,NA,NA
"97",1327,"Mullus surmuletus",7496,1345,86721,"male",NA,NA,90285,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,90285,13,NA,NA,NA,NA,"Alexandria and Abo Qir Bay","818",NA,NA,1001,2011-05-17 00:00:00,1001,2012-06-27 14:08:30,NA,NA,NA
"98",1327,"Mullus surmuletus",7494,1345,86721,"male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,"Mallorca","724",NA,NA,1001,2011-05-17 00:00:00,NA,2011-05-17 00:00:00,NA,NA,NA
"99",1327,"Mullus surmuletus",7493,1345,86721,"unsexed",NA,NA,86721,1.38999998569489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.1000003814697,NA,86721,NA,NA,"Alexandria, Demietta and Port Said, 2007-2008","818",NA,NA,1001,2011-05-17 00:00:00,3,2012-04-25 00:00:00,NA,NA,NA
"100",1327,"Mullus surmuletus",7498,1345,86721,"unsexed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TL",90366,16,NA,NA,NA,NA,"Canary Island","724A",NA,NA,1001,2011-05-17 00:00:00,1001,2012-06-27 14:26:43,NA,NA,NA
"101",1327,"Mullus surmuletus",7499,1345,86722,"female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,"Majorca","724",NA,NA,1001,2011-05-17 00:00:00,NA,2011-05-17 00:00:00,NA,NA,NA
"102",1327,"Mullus surmuletus",7500,1345,86722,"male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,"Majorca","724",NA,NA,1001,2011-05-17 00:00:00,NA,2011-05-17 00:00:00,NA,NA,NA
"103",1327,"Mullus surmuletus",7501,1345,86722,"unsexed",0,4,NA,NA,NA,NA,NA,NA,NA,NA,10,27,NA,NA,NA,NA,NA,NA,NA,"Majorca","724",NA,NA,1001,2011-05-17 00:00:00,NA,2011-05-17 00:00:00,NA,NA,NA
"104",1327,"Mullus surmuletus",7502,1345,86726,"female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TL",86726,19.5,NA,NA,NA,NA,"Strait of Sicily","380",NA,NA,1001,2011-05-17 00:00:00,3,2012-09-07 00:00:00,NA,NA,NA
"105",1327,"Mullus surmuletus",7767,1345,89829,"female",NA,NA,89829,2,NA,NA,NA,NA,NA,NA,NA,NA,"TL",89829,17.7999992370605,NA,NA,NA,NA,"M'diq bay, 2009","504",NA,NA,3,2012-06-04 00:00:00,NA,NA,NA,NA,NA
"106",1327,"Mullus surmuletus",7766,1345,89829,"male",NA,NA,89829,2,NA,NA,NA,NA,NA,NA,NA,NA,"TL",89829,16.7000007629395,NA,NA,NA,NA,"M'diq bay, 2009","504",NA,NA,3,2012-06-04 00:00:00,NA,NA,NA,NA,NA
"107",1327,"Mullus surmuletus",7841,1345,90367,"female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90368,11.5,NA,NA,NA,NA,"Egyptian coasts","818",NA,NA,1001,2012-06-27 14:34:53,NA,2012-06-27 14:34:53,NA,NA,NA
"108",1327,"Mullus surmuletus",7842,1345,90367,"male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90368,12.5100002288818,NA,NA,NA,NA,"Egyptian coasts","818",NA,NA,1001,2012-06-27 14:35:37,NA,2012-06-27 14:35:37,NA,NA,NA
"109",1327,"Mullus surmuletus",7900,1345,91466,"unsexed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,"Balearic Islands","724",NA,NA,1001,2012-09-14 15:03:05,NA,2012-09-14 15:03:05,NA,NA,NA
"110",1327,"Mullus surmuletus",7997,1345,92286,"female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.7000007629395,NA,NA,NA,NA,"English Channel",NA,NA,NA,2,2012-11-21 00:00:00,NA,2012-11-21 00:00:00,NA,NA,NA
"111",1327,"Mullus surmuletus",7996,1345,92286,"male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.2000007629395,NA,NA,NA,NA,"English Channel",NA,NA,NA,2,2012-11-21 00:00:00,NA,2012-11-21 00:00:00,NA,NA,NA
"112",54567,"Tripterygion melanurus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
