"","country","site","lat","lon","protection","enforcement"
"252","Greece","assecret2010193",35.41471135,25.02178779,"Not protected","0"
"253","Greece","assecret2210191",35.232037,23.595228,"Not protected","0"
"254","Greece","assecret2210192",35.232307,23.600225,"Not protected","0"
"255","Cyprus","Kavo Gkreko",34.9761666666667,34.0754,"Protected","2"
"256","Cyprus","Kavo Gkreko",34.9733666666667,34.0768166666667,"Protected","2"
"257","Cyprus","Nisia",35.00115,34.0675666666667,"Protected","1"
"258","Cyprus","Nisia",35.00735,34.0642833333333,"Protected","1"
"259","Cyprus","Kavo Gkreko",35.002,34.0714666666667,"Protected","2"
"260","Cyprus","Nisia",35.002,34.0714666666667,"Protected","1"
"261","Cyprus","Kavo Gkreko",34.9738166666667,34.08355,"Protected","2"
"262","Cyprus","Kavo Gkreko",34.9787333333333,34.0727,"Protected","1"
"263","Cyprus","Kavo Gkreko",34.9858833333333,34.0776166666667,"Protected","1"
"264","Cyprus","Kavo Gkreko",34.9859,34.0783833333333,"Protected","1"
"265","Cyprus","Nisia",35.00625,34.0688333333333,"Protected","1"
"266","Cyprus","Nisia",35.002,34.0719333333333,"Protected","1"
"267","Cyprus","Kavo Gkreko",34.9701333333333,34.0788666666667,"Protected","2"
"268","Cyprus","Kavo Gkreko",34.9644166666667,34.082,"Protected","2"
"269","Cyprus","Kavo Gkreko",34.9568166666667,34.0869166666667,"Protected","3"
"270","Cyprus","Kavo Gkreko",34.96075,34.0891,"Protected","3"
"271","Cyprus","Kavo Gkreko",34.9578666666667,34.0868,"Protected","3"
"272","Cyprus","Kavo Gkreko",34.97665,34.07595,"Protected","1"
"273","Cyprus","Kavo Gkreko",34.9692166666667,34.0762666666667,"Protected","2"
"274","Cyprus","Kavo Gkreko",34.9758666666667,34.0754666666667,"Protected","1"
"275","Cyprus","Kavo Gkreko",34.9585333333333,34.0737833333333,"Protected","2"
"276","Cyprus","Kavo Gkreko",34.96345,34.0738166666667,"Protected","2"
"277","Cyprus","Kavo Gkreko",34.9622666666667,34.0528833333333,"Protected","1"
"278","Cyprus","Kavo Gkreko",34.9616166666667,34.0622,"Protected","1"
"279","Cyprus","Kavo Gkreko",34.9672,34.0552166666667,"Protected","1"
"280","Cyprus","Kavo Gkreko",34.9709166666667,34.0448333333333,"Protected","1"
"281","Cyprus","Kavo Gkreko",34.9541333333333,34.0838333333333,"Protected","3"
"282","Cyprus","Kavo Gkreko",34.9583166666667,34.0677,"Protected","2"
"283","Cyprus","Kavo Gkreko",34.9601666666667,34.08025,"Protected","2"
"284","Cyprus","Kavo Gkreko",34.9614166666667,34.0588166666667,"Protected","1"
"285","Cyprus","Kavo Gkreko",34.9666166666667,34.0456833333333,"Protected","1"
"286","Cyprus","Kavo Gkreko",34.9607166666667,34.08775,"Protected","3"
"287","Cyprus","Kavo Gkreko",34.98545,34.0785166666667,"Protected","1"
"288","Cyprus","Kavo Gkreko",34.9858666666667,34.07785,"Protected","1"
"289","Cyprus","Kavo Gkreko",34.9796166666667,34.0720166666667,"Protected","1"
"290","Cyprus","Kavo Gkreko",34.9589833333333,34.0679333333333,"Protected","2"
"291","Cyprus","Kavo Gkreko",34.9558,34.0844333333333,"Protected","3"
"292","Cyprus","Nisia",35.0004,34.0686,"Protected","1"
"293","Cyprus","Nisia",35.0010666666667,34.0669166666667,"Protected","1"
"294","Cyprus","Kavo Gkreko",34.9751166666667,34.0767666666667,"Protected","2"
"295","Cyprus","Kavo Gkreko",34.9860666666667,34.0772666666667,"Protected","1"
"296","Cyprus","Moulia",34.7229166666667,32.4279833333333,"Protected","1"
"297","Cyprus","Moulia",34.7228333333333,32.4374666666667,"Protected","1"
"298","Cyprus","Akamas",35.1055,32.2878833333333,"Protected","2"
"299","Cyprus","Akamas",35.0907833333333,32.3034,"Protected","2"
"300","Cyprus","Akamas",34.9472166666667,32.3069,"Protected","2"
"301","Cyprus","Akamas",35.0890166666667,32.30535,"Protected","2"
"302","Cyprus","Akrotiri",34.5594666666667,33.0421333333333,"Protected","3"
"303","Cyprus","Akrotiri",34.5650666666667,32.9187333333333,"Protected","3"
"304","Cyprus","Akrotiri",34.62955,32.7701666666667,"Protected","3"
